NetID,Name,Expected_Graduation,MajorID
aadam2,Anna Adams,1.0,Marketing
aadams2,Antonio Adams,1.0,Systems Engineering & Design
aadki2,Andrea Adkins,1.0,Computer Science + Advertising
aagui2,Amber Aguilar,3.5,Dietetics and Nutrition
aalexan2,Amanda Alexander,4.5,Innovation
aali2,Alfred Ali,4.0,Marketing
aalle2,Ashley Allen,4.5,Nutrition and Health
aande2,Ashley Anderson,3.5,Agronomy
aande3,Anthony Anderson,5.0,Information Sciences + Data Science
aanders2,Angela Anderson,1.5,Computer Science + Advertising
aarm2,Anthony Armstrong,3.0,Management
aarnol2,Amy Arnold,3.0,Management
aayers2,Amber Ayers,3.0,Nutrition and Health
aba2,Aaron Barnes,3.0,Computer Science + Astronomy
abarne2,Amanda Barnett,1.5,Civil Engineering
abauti2,Ashley Bautista,4.0,Computer Science + Animal Sciences
abe2,Andrew Becker,2.0,Kinesiology
abe3,Aaron Bennett,4.0,Environmental Engineering
abe4,Ariana Berger,3.0,Agricultural & Biological Engineering
abec2,Anthony Beck,1.5,Marketing
abeck2,Alexander Beck,1.0,Computer Engineering
abel2,April Bell,1.5,Information Sciences
abel3,Anthony Bell,3.5,Environmental Engineering
aben2,Albert Benitez,3.5,Nutrition and Health
abennet2,Ashley Bennett,2.5,Management
abi2,Amy Bishop,1.5,Kinesiology
abl2,Angela Blankenship,2.0,Agricultural & Biological Engineering
ablack2,Alicia Black,5.0,Hospitality Management
abo3,Amy Bowers,3.0,Agricultural & Consumer Economics
abon2,Andrea Bonilla,4.5,Materials Science & Engineering
abook2,Andrew Booker,1.5,Mechanical Engineering
aboy2,Angela Boyd,2.0,Computer Science + Bioengineering
abr2,Alexander Brock,3.0,Chemistry
abr3,April Brown,5.0,Special Education
abr4,Andrea Brooks,4.0,Athletic Training
abrew2,Amanda Brewer,2.5,Supply Chain Management
abro2,Alex Brown,2.0,Advertising
abrook2,Amanda Brooks,3.0,Journalism
abrow2,Alice Browning,4.0,Early Childhood Education
abrya2,Ashley Bryant,2.0,Innovation
abuck2,Amanda Buck,4.5,Early Childhood Education
aburke2,Anna Burke,1.5,Management
aburns2,Ann Burns,3.0,Journalism
abutl2,Adam Butler,3.5,Operations Management
acab2,Annette Cabrera,2.5,Dietetics and Nutrition
acall2,Antonio Callahan,3.5,Biochemistry
acall3,Aaron Callahan,1.0,Chemistry
acam2,Andrew Campos,2.5,Secondary Education
